category,subcat,keyword,new_count,deleted_count,median_lifespan_days,demand_score
dom,Náradie,skrutkovac,17,1,0.09,4.21
nabytok,Sedacie súpravy,pohovka,23,2,0.48,4.2
deti,Hračky,detska,28,1,0.8,4.19
nabytok,Sedacie súpravy,sedaciu,19,2,0.25,4.11
nabytok,Sedacie súpravy,sedaciu supravu,19,2,0.25,4.11
elektro,"Hifi systémy, Rádiá",sony,24,2,0.58,4.1
sport,"Fitness, jogging",insportline,20,1,0.31,4.1
stroje,Stavebné stroje,vibracna doska,17,1,0.12,4.08
dom,Píly,motorova pila,21,1,0.39,4.06
dom,Píly,motorova,21,1,0.39,4.06
nabytok,Stoličky,kancelarska stolicka,19,1,0.26,4.06
elektro,Slúchadlá,anc,19,1,0.26,4.06
elektro,Sporáky,mora,18,1,0.2,4.05
deti,Autosedačky,autosedacka,150,0,,4.04
stroje,Poľnohospodárska technika,brany,16,1,0.08,4.0
elektro,Práčky,electrolux,16,1,0.08,3.98
elektro,Televízory,sony,17,2,0.16,3.96
dom,"Dvere, brány",interierove dvere,25,1,0.71,3.93
deti,Kojenecké potreby,avent,18,1,0.23,3.93
deti,Lego,star,19,1,0.31,3.9
dom,Rastliny,zemiaky,18,4,0.26,3.84
elektro,"Epilátory, Depilátory",philips,17,1,0.2,3.83
dom,Kosačky,benzinova,17,2,0.21,3.8
deti,Hračky,lego,141,0,,3.8
nabytok,Kúpeľne,bateria,19,1,0.35,3.79
sport,Kolobežky,kolobezka,140,0,,3.77
deti,Kočíky,stokke,17,1,0.24,3.71
deti,Kojenecké potreby,odsavacka mlieka,17,1,0.23,3.71
stroje,Stavebné stroje,wacker neuson,20,1,0.46,3.69
stroje,Stavebné stroje,neuson,20,1,0.46,3.69
sport,Kolobežky,electric,18,1,0.31,3.69
nabytok,Kuchyne,kuchynsku,17,1,0.26,3.63
dom,"Kotle, Kachle, Bojlery",protherm,20,1,0.5,3.61
elektro,Kávovary,philips,16,1,0.2,3.6
sport,Horské bicykle,damsky,17,1,0.27,3.6
nabytok,Stoly,kuchynsky,17,1,0.28,3.59
dom,Kosačky,benzinova kosacka,16,2,0.21,3.57
nabytok,Postele,rozkladacia,16,1,0.22,3.55
dom,Záhradná technika,drvic,15,1,0.15,3.51
